Maxima Ratio         Latitude             Longitude           
0                    36.0                 3.2                 
0                    36.0                 3.3                 
0                    36.0                 3.4                 
0                    36.0                 3.5                 
0                    36.0                 3.6                 
0                    36.0                 3.7                 
0                    36.0                 3.8                 
0                    36.0                 3.9                 
0                    36.0                 4.0                 
0                    36.0                 4.1                 
0                    36.0                 4.2                 
0                    36.0                 4.3                 
0                    36.0                 4.4                 
0                    36.1                 -9.3                
0                    36.1                 -9.2                
0                    36.1                 -9.1                
0                    36.1                 -9.0                
0                    36.1                 -8.9                
0                    36.1                 -8.8                
0                    36.1                 -8.7                
0                    36.1                 -8.6                
0                    36.1                 -8.5                
0                    36.1                 -8.4                
0                    36.1                 -8.3                
0                    36.1                 -8.2                
0                    36.1                 -8.1                
0                    36.1                 -8.0                
0                    36.1                 -7.9                
0                    36.1                 -7.8                
0                    36.1                 -7.7                
0                    36.1                 -7.6                
0                    36.1                 -7.5                
0                    36.1                 -7.4                
0                    36.1                 -7.3                
0                    36.1                 -7.2                
0                    36.1                 -7.1                
0                    36.1                 -7.0                
0                    36.1                 -6.9                
0                    36.1                 -6.8                
0                    36.1                 -6.7                
0                    36.1                 -6.6                
0                    36.1                 -6.5                
0                    36.1                 -6.4                
0                    36.1                 -6.3                
0                    36.1                 -6.2                
0                    36.1                 -6.1                
0                    36.1                 -6.0                
0                    36.1                 -5.9                
0.06752728125265513  36.1                 -5.8                
0.0676207790388149   36.1                 -5.7                
0.06883140007442692  36.1                 -5.6                
0.07303472807446082  36.1                 -5.5                
0.07829537708864952  36.1                 -5.4                
0.06832176827198304  36.1                 -5.3                
0                    36.1                 -5.2                
0                    36.1                 -5.1                
0                    36.1                 -5.0                
0                    36.1                 -4.9                
0                    36.1                 -4.8                
0                    36.1                 -4.7                
0                    36.1                 -4.6                
0                    36.1                 -4.5                
0                    36.1                 -4.4                
0                    36.1                 -4.3                
0                    36.1                 -4.2                
0                    36.1                 -4.1                
0                    36.1                 -4.0                
0                    36.1                 -3.9                
0                    36.1                 -3.8                
0                    36.1                 -3.7                
0                    36.1                 -3.6                
0                    36.1                 -3.5                
0                    36.1                 -3.4                
0                    36.1                 -3.3                
0                    36.1                 -3.2                
0                    36.1                 -3.1                
0                    36.1                 -3.0                
0                    36.1                 -2.9                
0                    36.1                 -2.8                
0                    36.1                 -2.7                
0                    36.1                 -2.6                
0                    36.1                 -2.5                
0                    36.1                 -2.4                
0                    36.1                 -2.3                
0                    36.1                 -2.2                
0                    36.1                 -2.1                
0                    36.1                 -2.0                
0                    36.1                 -1.9                
0                    36.1                 -1.8                
0                    36.1                 -1.7                
0                    36.1                 -1.6                
0                    36.1                 -1.5                
0                    36.1                 -1.4                
0                    36.1                 -1.3                
0                    36.1                 -1.2                
0                    36.1                 -1.1                
0                    36.1                 -1.0                
0                    36.1                 -0.9                
0                    36.1                 -0.8                
0                    36.1                 -0.7                
0                    36.1                 -0.6                
0                    36.1                 -0.5                
0                    36.1                 -0.4                
0                    36.1                 -0.3                
0                    36.1                 -0.2                
0                    36.1                 -0.1                
0                    36.1                 0.0                 
0                    36.1                 0.1                 
0                    36.1                 0.2                 
0                    36.1                 0.3                 
0                    36.1                 0.4                 
0                    36.1                 0.5                 
0                    36.1                 0.6                 
0                    36.1                 0.7                 
0                    36.1                 0.8                 
0                    36.1                 0.9                 
0                    36.1                 1.0                 
0                    36.1                 1.1                 
0                    36.1                 1.2                 
0                    36.1                 1.3                 
0                    36.1                 1.4                 
0                    36.1                 1.5                 
0                    36.1                 1.6                 
0                    36.1                 1.7                 
0                    36.1                 1.8                 
0                    36.1                 1.9                 
0                    36.1                 2.0                 
0                    36.1                 2.1                 
0                    36.1                 2.2                 
0                    36.1                 2.3                 
0                    36.1                 2.4                 
0                    36.1                 2.5                 
0                    36.1                 2.6                 
0                    36.1                 2.7                 
0                    36.1                 2.8                 
0                    36.1                 2.9                 
0                    36.1                 3.0                 
0                    36.1                 3.1                 
0                    36.1                 3.2                 
0                    36.1                 3.3                 
0                    36.1                 3.4                 
0                    36.1                 3.5                 
0                    36.1                 3.6                 
0                    36.1                 3.7                 
0                    36.1                 3.8                 
0                    36.1                 3.9                 
0                    36.1                 4.0                 
0                    36.1                 4.1                 
0                    36.1                 4.2                 
0                    36.1                 4.3                 
0                    36.1                 4.4                 
0                    36.2                 -9.3                
0                    36.2                 -9.2                
0                    36.2                 -9.1                
0                    36.2                 -9.0                
0                    36.2                 -8.9                
0                    36.2                 -8.8                
0                    36.2                 -8.7                
0                    36.2                 -8.6                
0                    36.2                 -8.5                
0                    36.2                 -8.4                
0                    36.2                 -8.3                
0                    36.2                 -8.2                
0                    36.2                 -8.1                
0                    36.2                 -8.0                
0                    36.2                 -7.9                
0                    36.2                 -7.8                
0                    36.2                 -7.7                
0                    36.2                 -7.6                
0                    36.2                 -7.5                
0                    36.2                 -7.4                
0                    36.2                 -7.3                
0                    36.2                 -7.2                
0                    36.2                 -7.1                
0                    36.2                 -7.0                
0                    36.2                 -6.9                
0                    36.2                 -6.8                
0                    36.2                 -6.7                
0                    36.2                 -6.6                
0                    36.2                 -6.5                
0                    36.2                 -6.4                
0                    36.2                 -6.3                
0                    36.2                 -6.2                
0.08663842545463114  36.2                 -6.1                
0.07916520635791434  36.2                 -6.0                
0.07104260500801955  36.2                 -5.9                
0.06637185583462445  36.2                 -5.8                
0.06442205031253377  36.2                 -5.7                
0.06460460139906915  36.2                 -5.6                
0.06900485651978558  36.2                 -5.5                
0.07287708820427878  36.2                 -5.4                
0.0710287263885425   36.2                 -5.3                
0                    36.2                 -5.2                
0                    36.2                 -5.1                
0                    36.2                 -5.0                
0                    36.2                 -4.9                
0                    36.2                 -4.8                
0                    36.2                 -4.7                
0                    36.2                 -4.6                
0                    36.2                 -4.5                
0                    36.2                 -4.4                
0                    36.2                 -4.3                
0                    36.2                 -4.2                
0                    36.2                 -4.1                
0                    36.2                 -4.0                
0                    36.2                 -3.9                
0                    36.2                 -3.8                
0                    36.2                 -3.7                
0                    36.2                 -3.6                
0                    36.2                 -3.5                
0                    36.2                 -3.4                
0                    36.2                 -3.3                
0                    36.2                 -3.2                
0                    36.2                 -3.1                
0                    36.2                 -3.0                
0                    36.2                 -2.9                
0                    36.2                 -2.8                
0                    36.2                 -2.7                
0                    36.2                 -2.6                
0                    36.2                 -2.5                
0                    36.2                 -2.4                
0                    36.2                 -2.3                
0                    36.2                 -2.2                
0                    36.2                 -2.1                
0                    36.2                 -2.0                
0                    36.2                 -1.9                
0                    36.2                 -1.8                
0                    36.2                 -1.7                
0                    36.2                 -1.6                
0                    36.2                 -1.5                
0                    36.2                 -1.4                
0                    36.2                 -1.3                
0                    36.2                 -1.2                
0                    36.2                 -1.1                
0                    36.2                 -1.0                
0                    36.2                 -0.9                
0                    36.2                 -0.8                
0                    36.2                 -0.7                
0                    36.2                 -0.6                
0                    36.2                 -0.5                
0                    36.2                 -0.4                
0                    36.2                 -0.3                
0                    36.2                 -0.2                
0                    36.2                 -0.1                
0                    36.2                 0.0                 
0                    36.2                 0.1                 
0                    36.2                 0.2                 
0                    36.2                 0.3                 
0                    36.2                 0.4                 
0                    36.2                 0.5                 
0                    36.2                 0.6                 
0                    36.2                 0.7                 
0                    36.2                 0.8                 
0                    36.2                 0.9                 
0                    36.2                 1.0                 
0                    36.2                 1.1                 
0                    36.2                 1.2                 
0                    36.2                 1.3                 
0                    36.2                 1.4                 
0                    36.2                 1.5                 
0                    36.2                 1.6                 
0                    36.2                 1.7                 
0                    36.2                 1.8                 
0                    36.2                 1.9                 
0                    36.2                 2.0                 
0                    36.2                 2.1                 
0                    36.2                 2.2                 
0                    36.2                 2.3                 
0                    36.2                 2.4                 
0                    36.2                 2.5                 
0                    36.2                 2.6                 
0                    36.2                 2.7                 
0                    36.2                 2.8                 
0                    36.2                 2.9                 
0                    36.2                 3.0                 
0                    36.2                 3.1                 
0                    36.2                 3.2                 
0                    36.2                 3.3                 
0                    36.2                 3.4                 
0                    36.2                 3.5                 
0                    36.2                 3.6                 
0                    36.2                 3.7                 
0                    36.2                 3.8                 
0                    36.2                 3.9                 
0                    36.2                 4.0                 
0                    36.2                 4.1                 
0                    36.2                 4.2                 
0                    36.2                 4.3                 
0                    36.2                 4.4                 
0                    36.3                 -9.3                
0                    36.3                 -9.2                
0                    36.3                 -9.1                
0                    36.3                 -9.0                
0                    36.3                 -8.9                
0                    36.3                 -8.8                
0                    36.3                 -8.7                
0                    36.3                 -8.6                
0                    36.3                 -8.5                
0                    36.3                 -8.4                
0                    36.3                 -8.3                
0                    36.3                 -8.2                
0                    36.3                 -8.1                
0                    36.3                 -8.0                
0                    36.3                 -7.9                
0                    36.3                 -7.8                
0                    36.3                 -7.7                
0                    36.3                 -7.6                
0                    36.3                 -7.5                
0                    36.3                 -7.4                
0                    36.3                 -7.3                
0                    36.3                 -7.2                
0                    36.3                 -7.1                
0                    36.3                 -7.0                
0                    36.3                 -6.9                
0                    36.3                 -6.8                
0                    36.3                 -6.7                
0                    36.3                 -6.6                
0                    36.3                 -6.5                
0                    36.3                 -6.4                
0                    36.3                 -6.3                
0                    36.3                 -6.2                
0.09375619863095329  36.3                 -6.1                
0.08119645225484949  36.3                 -6.0                
0.07273761299306183  36.3                 -5.9                
0.06761662710176618  36.3                 -5.8                
0.06687540769332871  36.3                 -5.7                
0.07046450692531375  36.3                 -5.6                
0.07156616018593533  36.3                 -5.5                
0.07506916720572629  36.3                 -5.4                
0.07517796415309541  36.3                 -5.3                
0.07489525476788844  36.3                 -5.2                
0                    36.3                 -5.1                
0                    36.3                 -5.0                
0                    36.3                 -4.9                
0                    36.3                 -4.8                
0                    36.3                 -4.7                
0                    36.3                 -4.6                
0                    36.3                 -4.5                
0                    36.3                 -4.4                
0                    36.3                 -4.3                
0                    36.3                 -4.2                
0                    36.3                 -4.1                
0                    36.3                 -4.0                
0                    36.3                 -3.9                
0                    36.3                 -3.8                
0                    36.3                 -3.7                
0                    36.3                 -3.6                
0                    36.3                 -3.5                
0                    36.3                 -3.4                
0                    36.3                 -3.3                
0                    36.3                 -3.2                
0                    36.3                 -3.1                
0                    36.3                 -3.0                
0                    36.3                 -2.9                
0                    36.3                 -2.8                
0                    36.3                 -2.7                
0                    36.3                 -2.6                
0                    36.3                 -2.5                
0                    36.3                 -2.4                
0                    36.3                 -2.3                
0                    36.3                 -2.2                
0                    36.3                 -2.1                
0                    36.3                 -2.0                
0                    36.3                 -1.9                
0                    36.3                 -1.8                
0                    36.3                 -1.7                
0                    36.3                 -1.6                
0                    36.3                 -1.5                
0                    36.3                 -1.4                
0                    36.3                 -1.3                
0                    36.3                 -1.2                
0                    36.3                 -1.1                
0                    36.3                 -1.0                
0                    36.3                 -0.9                
0                    36.3                 -0.8                
0                    36.3                 -0.7                
0                    36.3                 -0.6                
0                    36.3                 -0.5                
0                    36.3                 -0.4                
0                    36.3                 -0.3                
0                    36.3                 -0.2                
0                    36.3                 -0.1                
0                    36.3                 0.0                 
0                    36.3                 0.1                 
0                    36.3                 0.2                 
0                    36.3                 0.3                 
0                    36.3                 0.4                 
0                    36.3                 0.5                 
0                    36.3                 0.6                 
0                    36.3                 0.7                 
0                    36.3                 0.8                 
0                    36.3                 0.9                 
0                    36.3                 1.0                 
0                    36.3                 1.1                 
0                    36.3                 1.2                 
0                    36.3                 1.3                 
0                    36.3                 1.4                 
0                    36.3                 1.5                 
0                    36.3                 1.6                 
0                    36.3                 1.7                 
0                    36.3                 1.8                 
0                    36.3                 1.9                 
0                    36.3                 2.0                 
0                    36.3                 2.1                 
0                    36.3                 2.2                 
0                    36.3                 2.3                 
0                    36.3                 2.4                 
0                    36.3                 2.5                 
0                    36.3                 2.6                 
0                    36.3                 2.7                 
0                    36.3                 2.8                 
0                    36.3                 2.9                 
0                    36.3                 3.0                 
0                    36.3                 3.1                 
0                    36.3                 3.2                 
0                    36.3                 3.3                 
0                    36.3                 3.4                 
0                    36.3                 3.5                 
0                    36.3                 3.6                 
0                    36.3                 3.7                 
0                    36.3                 3.8                 
0                    36.3                 3.9                 
0                    36.3                 4.0                 
0                    36.3                 4.1                 
0                    36.3                 4.2                 
0                    36.3                 4.3                 
0                    36.3                 4.4                 
0                    36.4                 -9.3                
0                    36.4                 -9.2                
0                    36.4                 -9.1                
0                    36.4                 -9.0                
0                    36.4                 -8.9                
0                    36.4                 -8.8                
0                    36.4                 -8.7                
0                    36.4                 -8.6                
0                    36.4                 -8.5                
0                    36.4                 -8.4                
0                    36.4                 -8.3                
0                    36.4                 -8.2                
0                    36.4                 -8.1                
0                    36.4                 -8.0                
0                    36.4                 -7.9                
0                    36.4                 -7.8                
0                    36.4                 -7.7                
0                    36.4                 -7.6                
0                    36.4                 -7.5                
0                    36.4                 -7.4                
0                    36.4                 -7.3                
0                    36.4                 -7.2                
0                    36.4                 -7.1                
0                    36.4                 -7.0                
0                    36.4                 -6.9                
0                    36.4                 -6.8                
0                    36.4                 -6.7                
0                    36.4                 -6.6                
0                    36.4                 -6.5                
0                    36.4                 -6.4                
0                    36.4                 -6.3                
0.08523644809495731  36.4                 -6.2                
0.08606883774308874  36.4                 -6.1                
0.07814524506123055  36.4                 -6.0                
0.07430892474593342  36.4                 -5.9                
0.06864237136217993  36.4                 -5.8                
0.06786044736469382  36.4                 -5.7                
0.06869524758976364  36.4                 -5.6                
0.07163121267900063  36.4                 -5.5                
0.07053325761041346  36.4                 -5.4                
0.07578937734636884  36.4                 -5.3                
0.08123659184469573  36.4                 -5.2                
0.07758068682143629  36.4                 -5.1                
0                    36.4                 -5.0                
0                    36.4                 -4.9                
0                    36.4                 -4.8                
0                    36.4                 -4.7                
0                    36.4                 -4.6                
0                    36.4                 -4.5                
0                    36.4                 -4.4                
0                    36.4                 -4.3                
0                    36.4                 -4.2                
0                    36.4                 -4.1                
0                    36.4                 -4.0                
0                    36.4                 -3.9                
0                    36.4                 -3.8                
0                    36.4                 -3.7                
0                    36.4                 -3.6                
0                    36.4                 -3.5                
0                    36.4                 -3.4                
0                    36.4                 -3.3                
0                    36.4                 -3.2                
0                    36.4                 -3.1                
0                    36.4                 -3.0                
0                    36.4                 -2.9                
0                    36.4                 -2.8                
0                    36.4                 -2.7                
0                    36.4                 -2.6                
0                    36.4                 -2.5                
0                    36.4                 -2.4                
0                    36.4                 -2.3                
0                    36.4                 -2.2                
0                    36.4                 -2.1                
0                    36.4                 -2.0                
0                    36.4                 -1.9                
0                    36.4                 -1.8                
0                    36.4                 -1.7                
0                    36.4                 -1.6                
0                    36.4                 -1.5                
0                    36.4                 -1.4                
0                    36.4                 -1.3                
0                    36.4                 -1.2                
0                    36.4                 -1.1                
0                    36.4                 -1.0                
0                    36.4                 -0.9                
0                    36.4                 -0.8                
0                    36.4                 -0.7                
0                    36.4                 -0.6                
0                    36.4                 -0.5                
0                    36.4                 -0.4                
0                    36.4                 -0.3                
0                    36.4                 -0.2                
0                    36.4                 -0.1                
0                    36.4                 0.0                 
0                    36.4                 0.1                 
0                    36.4                 0.2                 
0                    36.4                 0.3                 
0                    36.4                 0.4                 
0                    36.4                 0.5                 
0                    36.4                 0.6                 
0                    36.4                 0.7                 
0                    36.4                 0.8                 
0                    36.4                 0.9                 
0                    36.4                 1.0                 
0                    36.4                 1.1                 
0                    36.4                 1.2                 
0                    36.4                 1.3                 
0                    36.4                 1.4                 
0                    36.4                 1.5                 
0                    36.4                 1.6                 
0                    36.4                 1.7                 
0                    36.4                 1.8                 
0                    36.4                 1.9                 
0                    36.4                 2.0                 
0                    36.4                 2.1                 
0                    36.4                 2.2                 
0                    36.4                 2.3                 
0                    36.4                 2.4                 
0                    36.4                 2.5                 
0                    36.4                 2.6                 
0                    36.4                 2.7                 
0                    36.4                 2.8                 
0                    36.4                 2.9                 
0                    36.4                 3.0                 
0                    36.4                 3.1                 
0                    36.4                 3.2                 
0                    36.4                 3.3                 
0                    36.4                 3.4                 
0                    36.4                 3.5                 
0                    36.4                 3.6                 
0                    36.4                 3.7                 
0                    36.4                 3.8                 
0                    36.4                 3.9                 
0                    36.4                 4.0                 
0                    36.4                 4.1                 
0                    36.4                 4.2                 
0                    36.4                 4.3                 
0                    36.4                 4.4                 
0                    36.5                 -9.3                
0                    36.5                 -9.2                
0                    36.5                 -9.1                
0                    36.5                 -9.0                
0                    36.5                 -8.9                
0                    36.5                 -8.8                
0                    36.5                 -8.7                
0                    36.5                 -8.6                
0                    36.5                 -8.5                
0                    36.5                 -8.4                
0                    36.5                 -8.3                
0                    36.5                 -8.2                
0                    36.5                 -8.1                
