Avg Annual Daily Max Latitude             Longitude           
0.0                  36.1                 -9.3                
0.0                  36.1                 -9.2                
0.0                  36.1                 -9.1                
0.0                  36.1                 -9.0                
0.0                  36.1                 -8.9                
0.0                  36.1                 -8.8                
0.0                  36.1                 -8.7                
0.0                  36.1                 -8.6                
0.0                  36.1                 -8.5                
0.0                  36.1                 -8.4                
0.0                  36.1                 -8.3                
0.0                  36.1                 -8.2                
0.0                  36.1                 -8.1                
0.0                  36.1                 -8.0                
0.0                  36.1                 -7.9                
0.0                  36.1                 -7.8                
0.0                  36.1                 -7.7                
0.0                  36.1                 -7.6                
0.0                  36.1                 -7.5                
0.0                  36.1                 -7.4                
0.0                  36.1                 -7.3                
0.0                  36.1                 -7.2                
0.0                  36.1                 -7.1                
0.0                  36.1                 -7.0                
0.0                  36.1                 -6.9                
0.0                  36.1                 -6.8                
0.0                  36.1                 -6.7                
0.0                  36.1                 -6.6                
0.0                  36.1                 -6.5                
0.0                  36.1                 -6.4                
0.0                  36.1                 -6.3                
0.0                  36.1                 -6.2                
0.0                  36.1                 -6.1                
0.0                  36.1                 -6.0                
0.0                  36.1                 -5.9                
49.88868112275094    36.1                 -5.8                
51.195977528889976   36.1                 -5.7                
53.534551273692756   36.1                 -5.6                
58.87528676697703    36.1                 -5.5                
64.78252887725829    36.1                 -5.4                
44.210429986317955   36.1                 -5.3                
0.0                  36.1                 -5.2                
0.0                  36.1                 -5.1                
0.0                  36.1                 -5.0                
0.0                  36.1                 -4.9                
0.0                  36.1                 -4.8                
0.0                  36.1                 -4.7                
0.0                  36.1                 -4.6                
0.0                  36.1                 -4.5                
0.0                  36.1                 -4.4                
0.0                  36.1                 -4.3                
0.0                  36.1                 -4.2                
0.0                  36.1                 -4.1                
0.0                  36.1                 -4.0                
0.0                  36.1                 -3.9                
0.0                  36.1                 -3.8                
0.0                  36.1                 -3.7                
0.0                  36.1                 -3.6                
0.0                  36.1                 -3.5                
0.0                  36.1                 -3.4                
0.0                  36.1                 -3.3                
0.0                  36.1                 -3.2                
0.0                  36.1                 -3.1                
0.0                  36.1                 -3.0                
0.0                  36.1                 -2.9                
0.0                  36.1                 -2.8                
0.0                  36.1                 -2.7                
0.0                  36.1                 -2.6                
0.0                  36.1                 -2.5                
0.0                  36.1                 -2.4                
0.0                  36.1                 -2.3                
0.0                  36.1                 -2.2                
0.0                  36.1                 -2.1                
0.0                  36.1                 -2.0                
0.0                  36.1                 -1.9                
0.0                  36.1                 -1.8                
0.0                  36.1                 -1.7                
0.0                  36.1                 -1.6                
0.0                  36.1                 -1.5                
0.0                  36.1                 -1.4                
0.0                  36.1                 -1.3                
0.0                  36.1                 -1.2                
0.0                  36.1                 -1.1                
0.0                  36.1                 -1.0                
0.0                  36.1                 -0.9                
0.0                  36.1                 -0.8                
0.0                  36.1                 -0.7                
0.0                  36.1                 -0.6                
0.0                  36.1                 -0.5                
0.0                  36.1                 -0.4                
0.0                  36.1                 -0.3                
0.0                  36.1                 -0.2                
0.0                  36.1                 -0.1                
0.0                  36.1                 0.0                 
0.0                  36.1                 0.1                 
0.0                  36.1                 0.2                 
0.0                  36.1                 0.3                 
0.0                  36.1                 0.4                 
0.0                  36.1                 0.5                 
0.0                  36.1                 0.6                 
0.0                  36.1                 0.7                 
0.0                  36.1                 0.8                 
0.0                  36.1                 0.9                 
0.0                  36.1                 1.0                 
0.0                  36.1                 1.1                 
0.0                  36.1                 1.2                 
0.0                  36.1                 1.3                 
0.0                  36.1                 1.4                 
0.0                  36.1                 1.5                 
0.0                  36.1                 1.6                 
0.0                  36.1                 1.7                 
0.0                  36.1                 1.8                 
0.0                  36.1                 1.9                 
0.0                  36.1                 2.0                 
0.0                  36.1                 2.1                 
0.0                  36.1                 2.2                 
0.0                  36.1                 2.3                 
0.0                  36.1                 2.4                 
0.0                  36.1                 2.5                 
0.0                  36.1                 2.6                 
0.0                  36.1                 2.7                 
0.0                  36.1                 2.8                 
0.0                  36.1                 2.9                 
0.0                  36.1                 3.0                 
0.0                  36.1                 3.1                 
0.0                  36.1                 3.2                 
0.0                  36.1                 3.3                 
0.0                  36.1                 3.4                 
0.0                  36.1                 3.5                 
0.0                  36.1                 3.6                 
0.0                  36.1                 3.7                 
0.0                  36.1                 3.8                 
0.0                  36.1                 3.9                 
0.0                  36.1                 4.0                 
0.0                  36.1                 4.1                 
0.0                  36.1                 4.2                 
0.0                  36.1                 4.3                 
0.0                  36.1                 4.4                 
0.0                  36.2                 -9.3                
0.0                  36.2                 -9.2                
0.0                  36.2                 -9.1                
0.0                  36.2                 -9.0                
0.0                  36.2                 -8.9                
0.0                  36.2                 -8.8                
0.0                  36.2                 -8.7                
0.0                  36.2                 -8.6                
0.0                  36.2                 -8.5                
0.0                  36.2                 -8.4                
0.0                  36.2                 -8.3                
0.0                  36.2                 -8.2                
0.0                  36.2                 -8.1                
0.0                  36.2                 -8.0                
0.0                  36.2                 -7.9                
0.0                  36.2                 -7.8                
0.0                  36.2                 -7.7                
0.0                  36.2                 -7.6                
0.0                  36.2                 -7.5                
0.0                  36.2                 -7.4                
0.0                  36.2                 -7.3                
0.0                  36.2                 -7.2                
0.0                  36.2                 -7.1                
0.0                  36.2                 -7.0                
0.0                  36.2                 -6.9                
0.0                  36.2                 -6.8                
0.0                  36.2                 -6.7                
0.0                  36.2                 -6.6                
0.0                  36.2                 -6.5                
0.0                  36.2                 -6.4                
0.0                  36.2                 -6.3                
0.0                  36.2                 -6.2                
58.50078117486203    36.2                 -6.1                
55.10368118864118    36.2                 -6.0                
52.2812100612756     36.2                 -5.9                
51.10755573619496    36.2                 -5.8                
52.21245233940355    36.2                 -5.7                
54.849170280225366   36.2                 -5.6                
60.910538933493854   36.2                 -5.5                
66.97749478889234    36.2                 -5.4                
65.84126897291702    36.2                 -5.3                
0.0                  36.2                 -5.2                
0.0                  36.2                 -5.1                
0.0                  36.2                 -5.0                
0.0                  36.2                 -4.9                
0.0                  36.2                 -4.8                
0.0                  36.2                 -4.7                
0.0                  36.2                 -4.6                
0.0                  36.2                 -4.5                
0.0                  36.2                 -4.4                
0.0                  36.2                 -4.3                
0.0                  36.2                 -4.2                
0.0                  36.2                 -4.1                
0.0                  36.2                 -4.0                
0.0                  36.2                 -3.9                
0.0                  36.2                 -3.8                
0.0                  36.2                 -3.7                
0.0                  36.2                 -3.6                
0.0                  36.2                 -3.5                
0.0                  36.2                 -3.4                
0.0                  36.2                 -3.3                
0.0                  36.2                 -3.2                
0.0                  36.2                 -3.1                
0.0                  36.2                 -3.0                
0.0                  36.2                 -2.9                
0.0                  36.2                 -2.8                
0.0                  36.2                 -2.7                
0.0                  36.2                 -2.6                
0.0                  36.2                 -2.5                
0.0                  36.2                 -2.4                
0.0                  36.2                 -2.3                
0.0                  36.2                 -2.2                
0.0                  36.2                 -2.1                
0.0                  36.2                 -2.0                
0.0                  36.2                 -1.9                
0.0                  36.2                 -1.8                
0.0                  36.2                 -1.7                
0.0                  36.2                 -1.6                
0.0                  36.2                 -1.5                
0.0                  36.2                 -1.4                
0.0                  36.2                 -1.3                
0.0                  36.2                 -1.2                
0.0                  36.2                 -1.1                
0.0                  36.2                 -1.0                
0.0                  36.2                 -0.9                
0.0                  36.2                 -0.8                
0.0                  36.2                 -0.7                
0.0                  36.2                 -0.6                
0.0                  36.2                 -0.5                
0.0                  36.2                 -0.4                
0.0                  36.2                 -0.3                
0.0                  36.2                 -0.2                
0.0                  36.2                 -0.1                
0.0                  36.2                 0.0                 
0.0                  36.2                 0.1                 
0.0                  36.2                 0.2                 
0.0                  36.2                 0.3                 
0.0                  36.2                 0.4                 
0.0                  36.2                 0.5                 
0.0                  36.2                 0.6                 
0.0                  36.2                 0.7                 
0.0                  36.2                 0.8                 
0.0                  36.2                 0.9                 
0.0                  36.2                 1.0                 
0.0                  36.2                 1.1                 
0.0                  36.2                 1.2                 
0.0                  36.2                 1.3                 
0.0                  36.2                 1.4                 
0.0                  36.2                 1.5                 
0.0                  36.2                 1.6                 
0.0                  36.2                 1.7                 
0.0                  36.2                 1.8                 
0.0                  36.2                 1.9                 
0.0                  36.2                 2.0                 
0.0                  36.2                 2.1                 
0.0                  36.2                 2.2                 
0.0                  36.2                 2.3                 
0.0                  36.2                 2.4                 
0.0                  36.2                 2.5                 
0.0                  36.2                 2.6                 
0.0                  36.2                 2.7                 
0.0                  36.2                 2.8                 
0.0                  36.2                 2.9                 
0.0                  36.2                 3.0                 
0.0                  36.2                 3.1                 
0.0                  36.2                 3.2                 
0.0                  36.2                 3.3                 
0.0                  36.2                 3.4                 
0.0                  36.2                 3.5                 
0.0                  36.2                 3.6                 
0.0                  36.2                 3.7                 
0.0                  36.2                 3.8                 
0.0                  36.2                 3.9                 
0.0                  36.2                 4.0                 
0.0                  36.2                 4.1                 
0.0                  36.2                 4.2                 
0.0                  36.2                 4.3                 
0.0                  36.2                 4.4                 
0.0                  36.3                 -9.3                
0.0                  36.3                 -9.2                
0.0                  36.3                 -9.1                
0.0                  36.3                 -9.0                
0.0                  36.3                 -8.9                
0.0                  36.3                 -8.8                
0.0                  36.3                 -8.7                
0.0                  36.3                 -8.6                
0.0                  36.3                 -8.5                
0.0                  36.3                 -8.4                
0.0                  36.3                 -8.3                
0.0                  36.3                 -8.2                
0.0                  36.3                 -8.1                
0.0                  36.3                 -8.0                
0.0                  36.3                 -7.9                
0.0                  36.3                 -7.8                
0.0                  36.3                 -7.7                
0.0                  36.3                 -7.6                
0.0                  36.3                 -7.5                
0.0                  36.3                 -7.4                
0.0                  36.3                 -7.3                
0.0                  36.3                 -7.2                
0.0                  36.3                 -7.1                
0.0                  36.3                 -7.0                
0.0                  36.3                 -6.9                
0.0                  36.3                 -6.8                
0.0                  36.3                 -6.7                
0.0                  36.3                 -6.6                
0.0                  36.3                 -6.5                
0.0                  36.3                 -6.4                
0.0                  36.3                 -6.3                
0.0                  36.3                 -6.2                
62.487351244146176   36.3                 -6.1                
57.4225128058231     36.3                 -6.0                
54.94316288919161    36.3                 -5.9                
54.57498668901848    36.3                 -5.8                
57.61481565417663    36.3                 -5.7                
64.2675886154175     36.3                 -5.6                
68.56886239485306    36.3                 -5.5                
74.1709497047193     36.3                 -5.4                
75.11313108964399    36.3                 -5.3                
76.15496699015299    36.3                 -5.2                
0.0                  36.3                 -5.1                
0.0                  36.3                 -5.0                
0.0                  36.3                 -4.9                
0.0                  36.3                 -4.8                
0.0                  36.3                 -4.7                
0.0                  36.3                 -4.6                
0.0                  36.3                 -4.5                
0.0                  36.3                 -4.4                
0.0                  36.3                 -4.3                
0.0                  36.3                 -4.2                
0.0                  36.3                 -4.1                
0.0                  36.3                 -4.0                
0.0                  36.3                 -3.9                
0.0                  36.3                 -3.8                
0.0                  36.3                 -3.7                
0.0                  36.3                 -3.6                
0.0                  36.3                 -3.5                
0.0                  36.3                 -3.4                
0.0                  36.3                 -3.3                
0.0                  36.3                 -3.2                
0.0                  36.3                 -3.1                
0.0                  36.3                 -3.0                
0.0                  36.3                 -2.9                
0.0                  36.3                 -2.8                
0.0                  36.3                 -2.7                
0.0                  36.3                 -2.6                
0.0                  36.3                 -2.5                
0.0                  36.3                 -2.4                
0.0                  36.3                 -2.3                
0.0                  36.3                 -2.2                
0.0                  36.3                 -2.1                
0.0                  36.3                 -2.0                
0.0                  36.3                 -1.9                
0.0                  36.3                 -1.8                
0.0                  36.3                 -1.7                
0.0                  36.3                 -1.6                
0.0                  36.3                 -1.5                
0.0                  36.3                 -1.4                
0.0                  36.3                 -1.3                
0.0                  36.3                 -1.2                
0.0                  36.3                 -1.1                
0.0                  36.3                 -1.0                
0.0                  36.3                 -0.9                
0.0                  36.3                 -0.8                
0.0                  36.3                 -0.7                
0.0                  36.3                 -0.6                
0.0                  36.3                 -0.5                
0.0                  36.3                 -0.4                
0.0                  36.3                 -0.3                
0.0                  36.3                 -0.2                
0.0                  36.3                 -0.1                
0.0                  36.3                 0.0                 
0.0                  36.3                 0.1                 
0.0                  36.3                 0.2                 
0.0                  36.3                 0.3                 
0.0                  36.3                 0.4                 
0.0                  36.3                 0.5                 
0.0                  36.3                 0.6                 
0.0                  36.3                 0.7                 
0.0                  36.3                 0.8                 
0.0                  36.3                 0.9                 
0.0                  36.3                 1.0                 
0.0                  36.3                 1.1                 
0.0                  36.3                 1.2                 
0.0                  36.3                 1.3                 
0.0                  36.3                 1.4                 
0.0                  36.3                 1.5                 
0.0                  36.3                 1.6                 
0.0                  36.3                 1.7                 
0.0                  36.3                 1.8                 
0.0                  36.3                 1.9                 
0.0                  36.3                 2.0                 
0.0                  36.3                 2.1                 
0.0                  36.3                 2.2                 
0.0                  36.3                 2.3                 
0.0                  36.3                 2.4                 
0.0                  36.3                 2.5                 
0.0                  36.3                 2.6                 
0.0                  36.3                 2.7                 
0.0                  36.3                 2.8                 
0.0                  36.3                 2.9                 
0.0                  36.3                 3.0                 
0.0                  36.3                 3.1                 
0.0                  36.3                 3.2                 
0.0                  36.3                 3.3                 
0.0                  36.3                 3.4                 
0.0                  36.3                 3.5                 
0.0                  36.3                 3.6                 
0.0                  36.3                 3.7                 
0.0                  36.3                 3.8                 
0.0                  36.3                 3.9                 
0.0                  36.3                 4.0                 
0.0                  36.3                 4.1                 
0.0                  36.3                 4.2                 
0.0                  36.3                 4.3                 
0.0                  36.3                 4.4                 
0.0                  36.4                 -9.3                
0.0                  36.4                 -9.2                
0.0                  36.4                 -9.1                
0.0                  36.4                 -9.0                
0.0                  36.4                 -8.9                
0.0                  36.4                 -8.8                
0.0                  36.4                 -8.7                
0.0                  36.4                 -8.6                
0.0                  36.4                 -8.5                
0.0                  36.4                 -8.4                
0.0                  36.4                 -8.3                
0.0                  36.4                 -8.2                
0.0                  36.4                 -8.1                
0.0                  36.4                 -8.0                
0.0                  36.4                 -7.9                
0.0                  36.4                 -7.8                
0.0                  36.4                 -7.7                
0.0                  36.4                 -7.6                
0.0                  36.4                 -7.5                
0.0                  36.4                 -7.4                
0.0                  36.4                 -7.3                
0.0                  36.4                 -7.2                
0.0                  36.4                 -7.1                
0.0                  36.4                 -7.0                
0.0                  36.4                 -6.9                
0.0                  36.4                 -6.8                
0.0                  36.4                 -6.7                
0.0                  36.4                 -6.6                
0.0                  36.4                 -6.5                
0.0                  36.4                 -6.4                
0.0                  36.4                 -6.3                
52.65097329110808    36.4                 -6.2                
56.75386873881022    36.4                 -6.1                
55.537361376213305   36.4                 -6.0                
57.01978299112032    36.4                 -5.9                
56.980569955074415   36.4                 -5.8                
60.825393012075715   36.4                 -5.7                
66.01188650998203    36.4                 -5.6                
72.91843685959323    36.4                 -5.5                
74.68265894687538    36.4                 -5.4                
80.5729465484619     36.4                 -5.3                
84.56857785311612    36.4                 -5.2                
77.0692700472745     36.4                 -5.1                
0.0                  36.4                 -5.0                
0.0                  36.4                 -4.9                
0.0                  36.4                 -4.8                
0.0                  36.4                 -4.7                
0.0                  36.4                 -4.6                
0.0                  36.4                 -4.5                
0.0                  36.4                 -4.4                
0.0                  36.4                 -4.3                
0.0                  36.4                 -4.2                
0.0                  36.4                 -4.1                
0.0                  36.4                 -4.0                
0.0                  36.4                 -3.9                
0.0                  36.4                 -3.8                
0.0                  36.4                 -3.7                
0.0                  36.4                 -3.6                
0.0                  36.4                 -3.5                
0.0                  36.4                 -3.4                
0.0                  36.4                 -3.3                
0.0                  36.4                 -3.2                
0.0                  36.4                 -3.1                
0.0                  36.4                 -3.0                
0.0                  36.4                 -2.9                
0.0                  36.4                 -2.8                
0.0                  36.4                 -2.7                
0.0                  36.4                 -2.6                
0.0                  36.4                 -2.5                
0.0                  36.4                 -2.4                
0.0                  36.4                 -2.3                
0.0                  36.4                 -2.2                
0.0                  36.4                 -2.1                
0.0                  36.4                 -2.0                
0.0                  36.4                 -1.9                
0.0                  36.4                 -1.8                
0.0                  36.4                 -1.7                
0.0                  36.4                 -1.6                
0.0                  36.4                 -1.5                
0.0                  36.4                 -1.4                
0.0                  36.4                 -1.3                
0.0                  36.4                 -1.2                
0.0                  36.4                 -1.1                
0.0                  36.4                 -1.0                
0.0                  36.4                 -0.9                
0.0                  36.4                 -0.8                
0.0                  36.4                 -0.7                
0.0                  36.4                 -0.6                
0.0                  36.4                 -0.5                
0.0                  36.4                 -0.4                
0.0                  36.4                 -0.3                
0.0                  36.4                 -0.2                
0.0                  36.4                 -0.1                
0.0                  36.4                 0.0                 
0.0                  36.4                 0.1                 
0.0                  36.4                 0.2                 
0.0                  36.4                 0.3                 
0.0                  36.4                 0.4                 
0.0                  36.4                 0.5                 
0.0                  36.4                 0.6                 
0.0                  36.4                 0.7                 
0.0                  36.4                 0.8                 
0.0                  36.4                 0.9                 
0.0                  36.4                 1.0                 
0.0                  36.4                 1.1                 
0.0                  36.4                 1.2                 
0.0                  36.4                 1.3                 
0.0                  36.4                 1.4                 
0.0                  36.4                 1.5                 
0.0                  36.4                 1.6                 
0.0                  36.4                 1.7                 
0.0                  36.4                 1.8                 
0.0                  36.4                 1.9                 
0.0                  36.4                 2.0                 
0.0                  36.4                 2.1                 
0.0                  36.4                 2.2                 
0.0                  36.4                 2.3                 
0.0                  36.4                 2.4                 
0.0                  36.4                 2.5                 
0.0                  36.4                 2.6                 
0.0                  36.4                 2.7                 
0.0                  36.4                 2.8                 
0.0                  36.4                 2.9                 
0.0                  36.4                 3.0                 
0.0                  36.4                 3.1                 
0.0                  36.4                 3.2                 
0.0                  36.4                 3.3                 
0.0                  36.4                 3.4                 
0.0                  36.4                 3.5                 
0.0                  36.4                 3.6                 
0.0                  36.4                 3.7                 
0.0                  36.4                 3.8                 
0.0                  36.4                 3.9                 
0.0                  36.4                 4.0                 
0.0                  36.4                 4.1                 
0.0                  36.4                 4.2                 
0.0                  36.4                 4.3                 
0.0                  36.4                 4.4                 
0.0                  36.5                 -9.3                
0.0                  36.5                 -9.2                
0.0                  36.5                 -9.1                
0.0                  36.5                 -9.0                
0.0                  36.5                 -8.9                
0.0                  36.5                 -8.8                
0.0                  36.5                 -8.7                
0.0                  36.5                 -8.6                
0.0                  36.5                 -8.5                
0.0                  36.5                 -8.4                
0.0                  36.5                 -8.3                
0.0                  36.5                 -8.2                
0.0                  36.5                 -8.1                
