Avrage Precipitaiton Latitude             Longitude           
0.0                  36.1                 -9.3                
0.0                  36.1                 -9.2                
0.0                  36.1                 -9.1                
0.0                  36.1                 -9.0                
0.0                  36.1                 -8.9                
0.0                  36.1                 -8.8                
0.0                  36.1                 -8.7                
0.0                  36.1                 -8.6                
0.0                  36.1                 -8.5                
0.0                  36.1                 -8.4                
0.0                  36.1                 -8.3                
0.0                  36.1                 -8.2                
0.0                  36.1                 -8.1                
0.0                  36.1                 -8.0                
0.0                  36.1                 -7.9                
0.0                  36.1                 -7.8                
0.0                  36.1                 -7.7                
0.0                  36.1                 -7.6                
0.0                  36.1                 -7.5                
0.0                  36.1                 -7.4                
0.0                  36.1                 -7.3                
0.0                  36.1                 -7.2                
0.0                  36.1                 -7.1                
0.0                  36.1                 -7.0                
0.0                  36.1                 -6.9                
0.0                  36.1                 -6.8                
0.0                  36.1                 -6.7                
0.0                  36.1                 -6.6                
0.0                  36.1                 -6.5                
0.0                  36.1                 -6.4                
0.0                  36.1                 -6.3                
0.0                  36.1                 -6.2                
0.0                  36.1                 -6.1                
0.0                  36.1                 -6.0                
0.0                  36.1                 -5.9                
2.0227468870777834   36.1                 -5.8                
2.072881393442004    36.1                 -5.7                
2.129444603646445    36.1                 -5.6                
2.207101989180491    36.1                 -5.5                
2.2653773840561398   36.1                 -5.4                
1.7716764979833486   36.1                 -5.3                
0.0                  36.1                 -5.2                
0.0                  36.1                 -5.1                
0.0                  36.1                 -5.0                
0.0                  36.1                 -4.9                
0.0                  36.1                 -4.8                
0.0                  36.1                 -4.7                
0.0                  36.1                 -4.6                
0.0                  36.1                 -4.5                
0.0                  36.1                 -4.4                
0.0                  36.1                 -4.3                
0.0                  36.1                 -4.2                
0.0                  36.1                 -4.1                
0.0                  36.1                 -4.0                
0.0                  36.1                 -3.9                
0.0                  36.1                 -3.8                
0.0                  36.1                 -3.7                
0.0                  36.1                 -3.6                
0.0                  36.1                 -3.5                
0.0                  36.1                 -3.4                
0.0                  36.1                 -3.3                
0.0                  36.1                 -3.2                
0.0                  36.1                 -3.1                
0.0                  36.1                 -3.0                
0.0                  36.1                 -2.9                
0.0                  36.1                 -2.8                
0.0                  36.1                 -2.7                
0.0                  36.1                 -2.6                
0.0                  36.1                 -2.5                
0.0                  36.1                 -2.4                
0.0                  36.1                 -2.3                
0.0                  36.1                 -2.2                
0.0                  36.1                 -2.1                
0.0                  36.1                 -2.0                
0.0                  36.1                 -1.9                
0.0                  36.1                 -1.8                
0.0                  36.1                 -1.7                
0.0                  36.1                 -1.6                
0.0                  36.1                 -1.5                
0.0                  36.1                 -1.4                
0.0                  36.1                 -1.3                
0.0                  36.1                 -1.2                
0.0                  36.1                 -1.1                
0.0                  36.1                 -1.0                
0.0                  36.1                 -0.9                
0.0                  36.1                 -0.8                
0.0                  36.1                 -0.7                
0.0                  36.1                 -0.6                
0.0                  36.1                 -0.5                
0.0                  36.1                 -0.4                
0.0                  36.1                 -0.3                
0.0                  36.1                 -0.2                
0.0                  36.1                 -0.1                
0.0                  36.1                 0.0                 
0.0                  36.1                 0.1                 
0.0                  36.1                 0.2                 
0.0                  36.1                 0.3                 
0.0                  36.1                 0.4                 
0.0                  36.1                 0.5                 
0.0                  36.1                 0.6                 
0.0                  36.1                 0.7                 
0.0                  36.1                 0.8                 
0.0                  36.1                 0.9                 
0.0                  36.1                 1.0                 
0.0                  36.1                 1.1                 
0.0                  36.1                 1.2                 
0.0                  36.1                 1.3                 
0.0                  36.1                 1.4                 
0.0                  36.1                 1.5                 
0.0                  36.1                 1.6                 
0.0                  36.1                 1.7                 
0.0                  36.1                 1.8                 
0.0                  36.1                 1.9                 
0.0                  36.1                 2.0                 
0.0                  36.1                 2.1                 
0.0                  36.1                 2.2                 
0.0                  36.1                 2.3                 
0.0                  36.1                 2.4                 
0.0                  36.1                 2.5                 
0.0                  36.1                 2.6                 
0.0                  36.1                 2.7                 
0.0                  36.1                 2.8                 
0.0                  36.1                 2.9                 
0.0                  36.1                 3.0                 
0.0                  36.1                 3.1                 
0.0                  36.1                 3.2                 
0.0                  36.1                 3.3                 
0.0                  36.1                 3.4                 
0.0                  36.1                 3.5                 
0.0                  36.1                 3.6                 
0.0                  36.1                 3.7                 
0.0                  36.1                 3.8                 
0.0                  36.1                 3.9                 
0.0                  36.1                 4.0                 
0.0                  36.1                 4.1                 
0.0                  36.1                 4.2                 
0.0                  36.1                 4.3                 
0.0                  36.1                 4.4                 
0.0                  36.2                 -9.3                
0.0                  36.2                 -9.2                
0.0                  36.2                 -9.1                
0.0                  36.2                 -9.0                
0.0                  36.2                 -8.9                
0.0                  36.2                 -8.8                
0.0                  36.2                 -8.7                
0.0                  36.2                 -8.6                
0.0                  36.2                 -8.5                
0.0                  36.2                 -8.4                
0.0                  36.2                 -8.3                
0.0                  36.2                 -8.2                
0.0                  36.2                 -8.1                
0.0                  36.2                 -8.0                
0.0                  36.2                 -7.9                
0.0                  36.2                 -7.8                
0.0                  36.2                 -7.7                
0.0                  36.2                 -7.6                
0.0                  36.2                 -7.5                
0.0                  36.2                 -7.4                
0.0                  36.2                 -7.3                
0.0                  36.2                 -7.2                
0.0                  36.2                 -7.1                
0.0                  36.2                 -7.0                
0.0                  36.2                 -6.9                
0.0                  36.2                 -6.8                
0.0                  36.2                 -6.7                
0.0                  36.2                 -6.6                
0.0                  36.2                 -6.5                
0.0                  36.2                 -6.4                
0.0                  36.2                 -6.3                
0.0                  36.2                 -6.2                
1.848714713759279    36.2                 -6.1                
1.9057461360983317   36.2                 -6.0                
2.0148630675124655   36.2                 -5.9                
2.108239437093032    36.2                 -5.8                
2.219005264028012    36.2                 -5.7                
2.3244777544304362   36.2                 -5.6                
2.4167491151593725   36.2                 -5.5                
2.516266701199903    36.2                 -5.4                
2.5379493372076443   36.2                 -5.3                
0.0                  36.2                 -5.2                
0.0                  36.2                 -5.1                
0.0                  36.2                 -5.0                
0.0                  36.2                 -4.9                
0.0                  36.2                 -4.8                
0.0                  36.2                 -4.7                
0.0                  36.2                 -4.6                
0.0                  36.2                 -4.5                
0.0                  36.2                 -4.4                
0.0                  36.2                 -4.3                
0.0                  36.2                 -4.2                
0.0                  36.2                 -4.1                
0.0                  36.2                 -4.0                
0.0                  36.2                 -3.9                
0.0                  36.2                 -3.8                
0.0                  36.2                 -3.7                
0.0                  36.2                 -3.6                
0.0                  36.2                 -3.5                
0.0                  36.2                 -3.4                
0.0                  36.2                 -3.3                
0.0                  36.2                 -3.2                
0.0                  36.2                 -3.1                
0.0                  36.2                 -3.0                
0.0                  36.2                 -2.9                
0.0                  36.2                 -2.8                
0.0                  36.2                 -2.7                
0.0                  36.2                 -2.6                
0.0                  36.2                 -2.5                
0.0                  36.2                 -2.4                
0.0                  36.2                 -2.3                
0.0                  36.2                 -2.2                
0.0                  36.2                 -2.1                
0.0                  36.2                 -2.0                
0.0                  36.2                 -1.9                
0.0                  36.2                 -1.8                
0.0                  36.2                 -1.7                
0.0                  36.2                 -1.6                
0.0                  36.2                 -1.5                
0.0                  36.2                 -1.4                
0.0                  36.2                 -1.3                
0.0                  36.2                 -1.2                
0.0                  36.2                 -1.1                
0.0                  36.2                 -1.0                
0.0                  36.2                 -0.9                
0.0                  36.2                 -0.8                
0.0                  36.2                 -0.7                
0.0                  36.2                 -0.6                
0.0                  36.2                 -0.5                
0.0                  36.2                 -0.4                
0.0                  36.2                 -0.3                
0.0                  36.2                 -0.2                
0.0                  36.2                 -0.1                
0.0                  36.2                 0.0                 
0.0                  36.2                 0.1                 
0.0                  36.2                 0.2                 
0.0                  36.2                 0.3                 
0.0                  36.2                 0.4                 
0.0                  36.2                 0.5                 
0.0                  36.2                 0.6                 
0.0                  36.2                 0.7                 
0.0                  36.2                 0.8                 
0.0                  36.2                 0.9                 
0.0                  36.2                 1.0                 
0.0                  36.2                 1.1                 
0.0                  36.2                 1.2                 
0.0                  36.2                 1.3                 
0.0                  36.2                 1.4                 
0.0                  36.2                 1.5                 
0.0                  36.2                 1.6                 
0.0                  36.2                 1.7                 
0.0                  36.2                 1.8                 
0.0                  36.2                 1.9                 
0.0                  36.2                 2.0                 
0.0                  36.2                 2.1                 
0.0                  36.2                 2.2                 
0.0                  36.2                 2.3                 
0.0                  36.2                 2.4                 
0.0                  36.2                 2.5                 
0.0                  36.2                 2.6                 
0.0                  36.2                 2.7                 
0.0                  36.2                 2.8                 
0.0                  36.2                 2.9                 
0.0                  36.2                 3.0                 
0.0                  36.2                 3.1                 
0.0                  36.2                 3.2                 
0.0                  36.2                 3.3                 
0.0                  36.2                 3.4                 
0.0                  36.2                 3.5                 
0.0                  36.2                 3.6                 
0.0                  36.2                 3.7                 
0.0                  36.2                 3.8                 
0.0                  36.2                 3.9                 
0.0                  36.2                 4.0                 
0.0                  36.2                 4.1                 
0.0                  36.2                 4.2                 
0.0                  36.2                 4.3                 
0.0                  36.2                 4.4                 
0.0                  36.3                 -9.3                
0.0                  36.3                 -9.2                
0.0                  36.3                 -9.1                
0.0                  36.3                 -9.0                
0.0                  36.3                 -8.9                
0.0                  36.3                 -8.8                
0.0                  36.3                 -8.7                
0.0                  36.3                 -8.6                
0.0                  36.3                 -8.5                
0.0                  36.3                 -8.4                
0.0                  36.3                 -8.3                
0.0                  36.3                 -8.2                
0.0                  36.3                 -8.1                
0.0                  36.3                 -8.0                
0.0                  36.3                 -7.9                
0.0                  36.3                 -7.8                
0.0                  36.3                 -7.7                
0.0                  36.3                 -7.6                
0.0                  36.3                 -7.5                
0.0                  36.3                 -7.4                
0.0                  36.3                 -7.3                
0.0                  36.3                 -7.2                
0.0                  36.3                 -7.1                
0.0                  36.3                 -7.0                
0.0                  36.3                 -6.9                
0.0                  36.3                 -6.8                
0.0                  36.3                 -6.7                
0.0                  36.3                 -6.6                
0.0                  36.3                 -6.5                
0.0                  36.3                 -6.4                
0.0                  36.3                 -6.3                
0.0                  36.3                 -6.2                
1.8247816656775537   36.3                 -6.1                
1.9362611101050973   36.3                 -6.0                
2.0681088596679924   36.3                 -5.9                
2.209830271921479    36.3                 -5.8                
2.358775006323949    36.3                 -5.7                
2.497125508531145    36.3                 -5.6                
2.6232399120458143   36.3                 -5.5                
2.7051479667530907   36.3                 -5.4                
2.735546418420065    36.3                 -5.3                
2.7839582311734454   36.3                 -5.2                
0.0                  36.3                 -5.1                
0.0                  36.3                 -5.0                
0.0                  36.3                 -4.9                
0.0                  36.3                 -4.8                
0.0                  36.3                 -4.7                
0.0                  36.3                 -4.6                
0.0                  36.3                 -4.5                
0.0                  36.3                 -4.4                
0.0                  36.3                 -4.3                
0.0                  36.3                 -4.2                
0.0                  36.3                 -4.1                
0.0                  36.3                 -4.0                
0.0                  36.3                 -3.9                
0.0                  36.3                 -3.8                
0.0                  36.3                 -3.7                
0.0                  36.3                 -3.6                
0.0                  36.3                 -3.5                
0.0                  36.3                 -3.4                
0.0                  36.3                 -3.3                
0.0                  36.3                 -3.2                
0.0                  36.3                 -3.1                
0.0                  36.3                 -3.0                
0.0                  36.3                 -2.9                
0.0                  36.3                 -2.8                
0.0                  36.3                 -2.7                
0.0                  36.3                 -2.6                
0.0                  36.3                 -2.5                
0.0                  36.3                 -2.4                
0.0                  36.3                 -2.3                
0.0                  36.3                 -2.2                
0.0                  36.3                 -2.1                
0.0                  36.3                 -2.0                
0.0                  36.3                 -1.9                
0.0                  36.3                 -1.8                
0.0                  36.3                 -1.7                
0.0                  36.3                 -1.6                
0.0                  36.3                 -1.5                
0.0                  36.3                 -1.4                
0.0                  36.3                 -1.3                
0.0                  36.3                 -1.2                
0.0                  36.3                 -1.1                
0.0                  36.3                 -1.0                
0.0                  36.3                 -0.9                
0.0                  36.3                 -0.8                
0.0                  36.3                 -0.7                
0.0                  36.3                 -0.6                
0.0                  36.3                 -0.5                
0.0                  36.3                 -0.4                
0.0                  36.3                 -0.3                
0.0                  36.3                 -0.2                
0.0                  36.3                 -0.1                
0.0                  36.3                 0.0                 
0.0                  36.3                 0.1                 
0.0                  36.3                 0.2                 
0.0                  36.3                 0.3                 
0.0                  36.3                 0.4                 
0.0                  36.3                 0.5                 
0.0                  36.3                 0.6                 
0.0                  36.3                 0.7                 
0.0                  36.3                 0.8                 
0.0                  36.3                 0.9                 
0.0                  36.3                 1.0                 
0.0                  36.3                 1.1                 
0.0                  36.3                 1.2                 
0.0                  36.3                 1.3                 
0.0                  36.3                 1.4                 
0.0                  36.3                 1.5                 
0.0                  36.3                 1.6                 
0.0                  36.3                 1.7                 
0.0                  36.3                 1.8                 
0.0                  36.3                 1.9                 
0.0                  36.3                 2.0                 
0.0                  36.3                 2.1                 
0.0                  36.3                 2.2                 
0.0                  36.3                 2.3                 
0.0                  36.3                 2.4                 
0.0                  36.3                 2.5                 
0.0                  36.3                 2.6                 
0.0                  36.3                 2.7                 
0.0                  36.3                 2.8                 
0.0                  36.3                 2.9                 
0.0                  36.3                 3.0                 
0.0                  36.3                 3.1                 
0.0                  36.3                 3.2                 
0.0                  36.3                 3.3                 
0.0                  36.3                 3.4                 
0.0                  36.3                 3.5                 
0.0                  36.3                 3.6                 
0.0                  36.3                 3.7                 
0.0                  36.3                 3.8                 
0.0                  36.3                 3.9                 
0.0                  36.3                 4.0                 
0.0                  36.3                 4.1                 
0.0                  36.3                 4.2                 
0.0                  36.3                 4.3                 
0.0                  36.3                 4.4                 
0.0                  36.4                 -9.3                
0.0                  36.4                 -9.2                
0.0                  36.4                 -9.1                
0.0                  36.4                 -9.0                
0.0                  36.4                 -8.9                
0.0                  36.4                 -8.8                
0.0                  36.4                 -8.7                
0.0                  36.4                 -8.6                
0.0                  36.4                 -8.5                
0.0                  36.4                 -8.4                
0.0                  36.4                 -8.3                
0.0                  36.4                 -8.2                
0.0                  36.4                 -8.1                
0.0                  36.4                 -8.0                
0.0                  36.4                 -7.9                
0.0                  36.4                 -7.8                
0.0                  36.4                 -7.7                
0.0                  36.4                 -7.6                
0.0                  36.4                 -7.5                
0.0                  36.4                 -7.4                
0.0                  36.4                 -7.3                
0.0                  36.4                 -7.2                
0.0                  36.4                 -7.1                
0.0                  36.4                 -7.0                
0.0                  36.4                 -6.9                
0.0                  36.4                 -6.8                
0.0                  36.4                 -6.7                
0.0                  36.4                 -6.6                
0.0                  36.4                 -6.5                
0.0                  36.4                 -6.4                
0.0                  36.4                 -6.3                
1.6912189775647462   36.4                 -6.2                
1.8053787084638113   36.4                 -6.1                
1.9458146465790345   36.4                 -6.0                
2.100890253802388    36.4                 -5.9                
2.272758516422678    36.4                 -5.8                
2.4540702388489475   36.4                 -5.7                
2.630959934622512    36.4                 -5.6                
2.787108205479865    36.4                 -5.5                
2.8989759521962575   36.4                 -5.4                
2.9107150422553643   36.4                 -5.3                
2.8502051186899093   36.4                 -5.2                
2.719859115689323    36.4                 -5.1                
0.0                  36.4                 -5.0                
0.0                  36.4                 -4.9                
0.0                  36.4                 -4.8                
0.0                  36.4                 -4.7                
0.0                  36.4                 -4.6                
0.0                  36.4                 -4.5                
0.0                  36.4                 -4.4                
0.0                  36.4                 -4.3                
0.0                  36.4                 -4.2                
0.0                  36.4                 -4.1                
0.0                  36.4                 -4.0                
0.0                  36.4                 -3.9                
0.0                  36.4                 -3.8                
0.0                  36.4                 -3.7                
0.0                  36.4                 -3.6                
0.0                  36.4                 -3.5                
0.0                  36.4                 -3.4                
0.0                  36.4                 -3.3                
0.0                  36.4                 -3.2                
0.0                  36.4                 -3.1                
0.0                  36.4                 -3.0                
0.0                  36.4                 -2.9                
0.0                  36.4                 -2.8                
0.0                  36.4                 -2.7                
0.0                  36.4                 -2.6                
0.0                  36.4                 -2.5                
0.0                  36.4                 -2.4                
0.0                  36.4                 -2.3                
0.0                  36.4                 -2.2                
0.0                  36.4                 -2.1                
0.0                  36.4                 -2.0                
0.0                  36.4                 -1.9                
0.0                  36.4                 -1.8                
0.0                  36.4                 -1.7                
0.0                  36.4                 -1.6                
0.0                  36.4                 -1.5                
0.0                  36.4                 -1.4                
0.0                  36.4                 -1.3                
0.0                  36.4                 -1.2                
0.0                  36.4                 -1.1                
0.0                  36.4                 -1.0                
0.0                  36.4                 -0.9                
0.0                  36.4                 -0.8                
0.0                  36.4                 -0.7                
0.0                  36.4                 -0.6                
0.0                  36.4                 -0.5                
0.0                  36.4                 -0.4                
0.0                  36.4                 -0.3                
0.0                  36.4                 -0.2                
0.0                  36.4                 -0.1                
0.0                  36.4                 0.0                 
0.0                  36.4                 0.1                 
0.0                  36.4                 0.2                 
0.0                  36.4                 0.3                 
0.0                  36.4                 0.4                 
0.0                  36.4                 0.5                 
0.0                  36.4                 0.6                 
0.0                  36.4                 0.7                 
0.0                  36.4                 0.8                 
0.0                  36.4                 0.9                 
0.0                  36.4                 1.0                 
0.0                  36.4                 1.1                 
0.0                  36.4                 1.2                 
0.0                  36.4                 1.3                 
0.0                  36.4                 1.4                 
0.0                  36.4                 1.5                 
0.0                  36.4                 1.6                 
0.0                  36.4                 1.7                 
0.0                  36.4                 1.8                 
0.0                  36.4                 1.9                 
0.0                  36.4                 2.0                 
0.0                  36.4                 2.1                 
0.0                  36.4                 2.2                 
0.0                  36.4                 2.3                 
0.0                  36.4                 2.4                 
0.0                  36.4                 2.5                 
0.0                  36.4                 2.6                 
0.0                  36.4                 2.7                 
0.0                  36.4                 2.8                 
0.0                  36.4                 2.9                 
0.0                  36.4                 3.0                 
0.0                  36.4                 3.1                 
0.0                  36.4                 3.2                 
0.0                  36.4                 3.3                 
0.0                  36.4                 3.4                 
0.0                  36.4                 3.5                 
0.0                  36.4                 3.6                 
0.0                  36.4                 3.7                 
0.0                  36.4                 3.8                 
0.0                  36.4                 3.9                 
0.0                  36.4                 4.0                 
0.0                  36.4                 4.1                 
0.0                  36.4                 4.2                 
0.0                  36.4                 4.3                 
0.0                  36.4                 4.4                 
0.0                  36.5                 -9.3                
0.0                  36.5                 -9.2                
0.0                  36.5                 -9.1                
0.0                  36.5                 -9.0                
0.0                  36.5                 -8.9                
0.0                  36.5                 -8.8                
0.0                  36.5                 -8.7                
0.0                  36.5                 -8.6                
0.0                  36.5                 -8.5                
0.0                  36.5                 -8.4                
0.0                  36.5                 -8.3                
0.0                  36.5                 -8.2                
0.0                  36.5                 -8.1                
